"","PLAT_CAT","LAT_PLAT_avg","LONG_PLAT_avg"
"1","ABERCROMBY",61.34091667,0.98925
"2","ABERLOUR",61.0255,3.453666667
"3","AFFLECK",56.4425,2.701333333
"4","AIRIDH",54.366,0.786333333
"5","ALBA",58.05916667,1.072333333
"6","ALDER",58.102799998,0.6847666666
"7","ALWYN",60.8004583325,1.72883333325
"8","AMETHYST",53.6026176458824,0.751176470647059
"9","ANDREW",58.05275,1.495
"10","ANGLIA",53.37066667,1.5745
"11","ANGUS",56.2185,3.111166667
"12","ANN",53.7155,2.056166667
"13","ARBROATH",57.37766667,1.3785
"14","ARGYLL",56.189,2.769
"15","ARUNDEL",58.202166665,1.4279166665
"16","ATLANTIC",60.6913326472428,3.5669725651358
"17","AUDREY",53.54922222,1.99922222233333
"18","AUK",56.40083333,2.062
"19","BALVENIE",60.54383333,1.790333333
"20","BARQUE",53.6125,1.524833333
"21","BEATRICE",58.1180370344444,3.07896296322222
"22","BEDEVERE",53.39533333,1.472166667
"23","BERYL",59.5754629611111,1.52640740744444
"24","BEVERLEY",57.05083333,1.015833333
"25","BLACKSAIL",60.933,2.233333333
"26","BLENHIEM",58.27583333,1.0075
"27","BLIGH",57.375,0.9345
"28","BLOCK",53.46466667,1.343
"29","BONNEVILLE",56.718,0.6835
"30","BP_ETAP",57.25216667,2.058666667
"31","BRAE",58.7417407422222,1.323777778
"32","BRENT",61.05908889,1.70835555566667
"33","BRITANNIA",58.06275,1.014916667
"34","BRUCE",59.74383333,1.672166667
"35","BUCHAN",57.906,0.028
"36","CAISTER",54.20316667,2.449666667
"37","CAPTAIN",58.30716667,1.769
"38","CAVENDISH",54.4775,1.7545
"39","CAYLEY",57.42133333,1.2325
"40","CICERO",58.26466667,3.081333333
"41","CLADHAN",61.14983333,0.785333333
"42","CLAIR",60.7010555555556,2.57998148144444
"43","CLAW",60.3455,4.1375
"44","CLEETON",54.03283333,0.7265
"45","CLIPPER",53.4595,1.729833333
"46","CLYDE",56.4525,2.287333333
"47","CORMORANT",61.1819523814286,1.11435714271429
"48","CRAWFORD",59.176,1.622
"49","CROMARTY",57.689722166,4.0262776665
"50","CULZEAN",57.20425,1.9054166665
"51","CURLEW",56.727208335,1.27099999975
"52","CYGNUS",54.57333333,2.247166667
"53","CYRUS",58.113666665,1.4459166665
"54","DANDY",57.11033333,0.493666667
"55","DAUNTLESS",57.52133333,0.105166667
"56","DAVY",53.0571666633333,2.844166667
"57","DEVENICK",59.161,1.6340833335
"58","DON",61.531,1.661
"59","DONAN",58.37466667,0.8405
"60","DOVER",56.9825,1.7335
"61","DUNBAR",60.63166667,1.6435
"62","DUNVEGAN",58.37466667,0.618833333
"63","DURWARD",57.45966667,0.157833333
"64","EIDER",61.35716667,1.161166667
"65","ELGIN",57.01166667,1.840166667
"66","EMERALD_North",60.83333333,0.75
"67","EMERALD_South",54.45633333,2.743666667
"68","ENSIGN",53.56966667,1.9705
"69","ESMOND",54.58866667,1.426666667
"70","EVEREST",57.73533333,1.79044444433333
"71","FARRAGON",58.15633333,1.509666667
"72","FIFE",56.017,3.186333333
"73","FLYNDRE",56.55583333,2.626166667
"74","FOINAVEN",60.3114166666667,4.2399444445
"75","FORBES",54.66666667,1.5
"76","FORTIES",57.7248939409091,0.960348484727273
"77","FORVIE",60.48283333,1.843333333
"78","FRANKLIN",56.962833335,1.833833333
"79","FULMAR",56.49416667,2.1545
"80","FYNE",57.14783333,0.5405
"81","GANNET",57.2175925933333,1.00914814822222
"82","GLENLIVET",61.07733333,2.087666667
"83","GORDON",54.50033333,1.941333333
"84","GRYPHON",59.34875,1.5579166665
"85","GUILLEMOT",NA,NA
"86","GUINEVERE",53.41433333,1.271666667
"87","HARDING",59.28233333,1.509666667
"88","HERON",57.149,1.784333333
"89","HIGHLANDER",58.40283333,0.122
"90","HUDSON",61.26116667,0.708666667
"91","HUMPHREY",54.45366667,2.1925
"92","HUTTON",61.07879166625,1.384645833625
"93","HYDE",53.80666667,1.027
"94","INDEFATIGABLE",53.352633334,2.5807333332
"95","ISLAY",60.52283333,1.869666667
"96","JADE",56.85016667,2.254166667
"97","JOANNE",56.6975,2.246
"98","JUDY",56.69783333,2.336
"99","JURA",60.54,1.901
"100","KESSOG",56.85216667,2.166166667
"101","KINNOULL",58.23966667,1.572
"102","LAGGAN",60.95433333,2.924
"103","LANCELOT",53.41175,1.3225833335
"104","LEMAN",53.086083335,2.173
"105","LINNHE",59.67333333,1.561833333
"106","LOCHSIDE",61.253,3.626166667
"107","LOMOND",57.28866667,2.1785
"108","LYELL",60.899,1.2715
"109","MACHAR",57.0775277766667,2.0966944445
"110","MAGNUS",61.62033333,1.3065
"111","MALLORY",53.543,1.242833333
"112","MARNOCK",57.295666665,1.6631666665
"113","MAUREEN",58.13116667,1.701833333
"114","MILLER",58.72233333,1.401666667
"115","MIRREN",57.309066666,1.8879666668
"116","MONAN",57.35383333,1.872
"117","MONROE",54.43466667,2.300166667
"118","MONTEREY",53.812,2.468833333
"119","MONTROSE",57.45133333,1.383666667
"120","MORAY",58.302966668,3.1289666664
"121","MUNGO",57.37511111,1.99494444433333
"122","MURCHISON",61.39766667,1.7395
"123","MURDOCH",54.26866667,2.323666667
"124","NELSON",57.6495128207692,1.16212820530769
"125","OCKLEY",56.93416667,2.161833333
"126","OSPREY",61.324,1.548
"127","OTTER",61.5145,0.951166667
"128","PANDORA",57.18833333,1.892166667
"129","PICKERILL",53.536833335,1.1173333335
"130","PIPER",58.464,0.2535
"131","PLAT_214",61.00683333,2.483333333
"132","PLAT_44514",58.5956491231579,0.958175438526316
"133","RAVEN",54.05097222,1.13391666666667
"134","RHUM",60.1335416675,1.71945833325
"135","ROSS",58.1015,1.438166667
"136","SAILOR",59.56983333,0.917
"137","SALTIRE",58.41583333,0.329
"138","SCHIEHALLION",60.347466666,4.070466667
"139","SCOTT",58.2841666666667,0.206444444666667
"140","SEYMOUR",57.9725,1.8595
"141","SHEARWATER",57.032,1.955833333
"142","SHETLAND",60.4705,4.480833333
"143","SINGLEWELL_13/24",58.20583333,1.352
"144","SINGLEWELL_15/23",58.235416665,0.64766666675
"145","SINGLEWELL_15/25",58.25283333,0.991833333
"146","SINGLEWELL_16/21",58.18366667,1.1295
"147","SINGLEWELL_16/22",58.28966667,1.319833333
"148","SINGLEWELL_16/27",58.0665,1.269833333
"149","SINGLEWELL_16/28",58.056,1.590666667
"150","SINGLEWELL_16/3",58.9775,1.544333333
"151","SINGLEWELL_21/1",57.86416667,0.126
"152","SINGLEWELL_21/12",57.6475,0.3415
"153","SINGLEWELL_211/12",61.587916665,1.262083333
"154","SINGLEWELL_211/14",61.5625,1.632666667
"155","SINGLEWELL_22/14",57.54666667,1.7045
"156","SINGLEWELL_22/29",57.081,1.7885
"157","SINGLEWELL_27/27",57.14283333,2.282666667
"158","SINGLEWELL_29/10",56.804416665,1.95075
"159","SINGLEWELL_29/12",56.65266667,1.238
"160","SINGLEWELL_30/13",56.66233333,2.426333333
"161","SINGLEWELL_30/29",56.12133333,2.635
"162","SINGLEWELL_44/12",54.55116667,2.272833333
"163","SINGLEWELL_44/26",54.10133333,2.040333333
"164","SINGLEWELL_9/8",59.73383333,1.571333333
"165","SOLE",53.7194444466667,1.124888889
"166","STELLA",56.804,2.10075
"167","STRATHSPEY",60.9275,1.706833333
"168","TEAL",57.25666667,0.8075
"169","TERN",61.2765,0.919666667
"170","THELMA",58.37316667,1.3105
"171","THISTLE",61.36466667,1.5805
"172","TIFFANY",58.47933333,1.265333333
"173","TONY",58.43066667,1.285
"174","TORMORE",60.87216667,3.135166667
"175","TRANCHE",61.595083335,2.8373333335
"176","TULLICH",59.31733333,1.554666667
"177","VALIANT",53.3263425,2.1977408335
"178","VANGUARD",53.3775,2.110166667
"179","VRACKIE",60.13566667,4.517666667
"180","VULCAN",53.25225,1.99625
"181","WINTERTON",52.84466667,2.992166667
"182","WOOD",57.375,1.4455
"183","alpha ventus",54.03330046875,6.60713171875
"184","BeoFino",54.0257313043478,6.59000726086957
"185","BeoFinoII",54.02001875,6.58813208333333
